,return-date,order-id,sku,asin,fnsku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
38,2020-08-20T23:53:12-07:00,113-2061823-7704228,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,SELLABLE,UNDELIVERABLE_FAILED_DELIVERY_ATTEMPTS,Unit returned to inventory,LPNPM265532597,
39,2020-08-20T07:13:23-07:00,112-1223453-3190628,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,CUSTOMER_DAMAGED,DEFECTIVE,Reimbursed,LPNRRAE6379881,
40,2020-08-03T07:51:25-07:00,111-6260785-5930634,PB-9VBAT,B08267X3LH,B08267X3LH,1,LEX1,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRRAA8501583,
41,2020-07-24T17:20:03-07:00,112-8266896-1355444,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNN736185111,This batteries are not 1.5 volt as advertised. They are 4.X volt when measured on Nitecore battery charger. Stop deceiving customers. 6 of them did not last even 24 hours in my NEST smoke detector.
42,2020-07-24T17:20:03-07:00,112-8266896-1355444,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNN736185110,This batteries are not 1.5 volt as advertised. They are 4.X volt when measured on Nitecore battery charger. Stop deceiving customers. 6 of them did not last even 24 hours in my NEST smoke detector.
43,2020-09-26T00:59:13-07:00,111-5514755-5110610,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,LPNRRAF8197824,undelivered
44,2020-09-18T08:53:38-07:00,111-0028688-8925071,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,DEFECTIVE,DEFECTIVE,Reimbursed,LPNRRAF4684237,Batteries from fully charged to depleted do not provide an adequate amount of energy (the ability to do work).
45,2020-09-18T08:09:42-07:00,111-5179044-2119414,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRRAE0089796,
46,2020-09-17T13:26:44-07:00,114-8709286-4890661,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPM192683610,
47,2020-09-14T22:53:02-07:00,112-3792891-0095440,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,DEFECTIVE,DEFECTIVE,Reimbursed,LPNPM264414398,Defective item
48,2020-09-11T11:37:44-07:00,114-7252172-5487439,PB-AAA,B08267BBJT,B08267BBJT,1,IND8,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNN764704507,
49,2020-09-10T12:53:02-07:00,111-5930411-7844267,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPM246158067,
50,2020-09-08T02:19:19-07:00,113-3226935-2865043,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,LPNRRAF7238854,
51,2020-09-06T00:59:48-07:00,112-7098166-5238608,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,CUSTOMER_DAMAGED,DEFECTIVE,Reimbursed,LPNRRAF6013636,
52,2020-09-05T23:21:52-07:00,114-2886569-5995451,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Reimbursed,LPNPM263409853,
53,2020-08-31T07:32:26-07:00,112-8767704-1649057,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRRAE2076199,"The batteries don&#39;t work. They charged but when I tried to use them, my device wouldn&#39;t work."
54,2020-08-31T00:17:30-07:00,113-4658605-6426600,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,DEFECTIVE,DEFECTIVE,Reimbursed,LPNRRAE5161183,Product determined defective
55,2020-10-31T10:36:54-07:00,112-4372687-5628265,PB-AA,B08268F6XN,B08268F6XN,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPM261427165,
56,2020-10-30T12:29:49-07:00,113-8023048-0878656,PB-AA,B08268F6XN,B08268F6XN,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNPM261554599,
57,2020-10-28T13:46:17-07:00,114-4735603-3996234,PB-AA,B08268F6XN,B08268F6XN,1,LEX1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNPM256194381,
58,2020-10-28T05:14:32-07:00,114-8314637-7146605,PB-AAA,B08267BBJT,B08267BBJT,1,IND8,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNN882726438,
59,2020-10-27T13:28:17-07:00,112-2202056-9497848,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,DEFECTIVE,QUALITY_UNACCEPTABLE,Unit returned to inventory,LPNPM250404948,
60,2020-10-19T07:39:10-07:00,114-3812862-7613027,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRRAJ7887067,
61,2020-10-18T13:42:57-07:00,114-4174033-6670635,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,SELLABLE,UNAUTHORIZED_PURCHASE,Unit returned to inventory,LPNRRAJ7865794,
62,2020-10-16T15:48:59-07:00,112-5370341-4161853,PB-9VBAT,B08267X3LH,B08267X3LH,1,LEX2,DEFECTIVE,DEFECTIVE,Reimbursed,LPNPM249440860,
63,2020-10-12T02:50:08-07:00,114-6772788-3360206,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,CUSTOMER_DAMAGED,UNWANTED_ITEM,Unit returned to inventory,LPNRRAF1070317,
64,2020-10-09T13:57:09-07:00,114-2130073-3492238,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRRAF0149611,
65,2020-10-08T14:25:56-07:00,114-9543342-5403416,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRRAE7757365,
66,2020-10-07T12:42:27-07:00,113-7949377-1577028,PB-9VBAT,B08267X3LH,B08267X3LH,1,IND8,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNN789288531,
67,2020-10-03T04:17:01-07:00,112-1459782-1480259,PB-AAA,B08267BBJT,B08267BBJT,1,LEX1,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRRAG2634301,
68,2020-11-30T06:52:13-08:00,111-9465410-1392219,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNPM284989779,One of the four batteries doesn&#39;t charge.
